Edad,ingreso anual,Consumo mensual,Localidad,Deuda,Antigüedad de la deuda (meses)
29,"$ 1.600.000,00 ",985000,zona 4,$ -   ,0
43,"$ 500.000,00 ",303000,zona 5,"$ 24.240,00 ",7
48,"$ 1.650.000,00 ",399000,zona 2,"$ 31.920,00 ",8
60,"$ 550.000,00 ",495000,zona 3,"$ 39.600,00 ",9
50,"$ 1.700.000,00 ",591000,zona 2,"$ 47.280,00 ",2
51,"$ 600.000,00 ",687000,zona 4,"$ 54.960,00 ",3
52,"$ 600.000,00 ",783000,zona 1,"$ 62.640,00 ",1
49,"$ 1.150.000,00 ",879000,zona 1,$ -   ,0
48,"$ 50.000,00 ",975000,zona 2,"$ 78.000,00 ",1
47,"$ 1.200.000,00 ",1071000,zona 3,"$ 85.680,00 ",2
46,"$ 100.000,00 ",1167000,zona 4,"$ 93.360,00 ",3
45,"$ 1.250.000,00 ",1263000,zona 5,"$ 101.040,00 ",4
44,"$ 150.000,00 ",85000,zona 2,"$ 6.800,00 ",8
43,"$ 1.300.000,00 ",135000,zona 3,"$ 10.800,00 ",15
42,"$ 200.000,00 ",185000,zona 2,"$ 14.800,00 ",23
28,"$ 1.350.000,00 ",235000,zona 4,"$ 18.800,00 ",5
30,"$ 250.000,00 ",285000,zona 1,"$ 22.800,00 ",8
31,"$ 1.400.000,00 ",335000,zona 1,"$ 26.800,00 ",9
32,"$ 300.000,00 ",385000,zona 2,"$ 30.800,00 ",10
33,"$ 1.450.000,00 ",435000,zona 3,"$ 34.800,00 ",8
34,"$ 350.000,00 ",485000,zona 4,"$ 38.800,00 ",7
35,"$ 1.500.000,00 ",535000,zona 5,"$ 42.800,00 ",6
36,"$ 400.000,00 ",585000,zona 2,"$ 46.800,00 ",5
25,"$ 1.550.000,00 ",635000,zona 3,"$ 50.800,00 ",6
29,"$ 450.000,00 ",685000,zona 2,"$ 54.800,00 ",7
30,"$ 1.600.000,00 ",735000,zona 4,"$ 58.800,00 ",9
35,"$ 500.000,00 ",785000,zona 1,"$ 62.800,00 ",2
40,"$ 1.650.000,00 ",835000,zona 1,"$ 66.800,00 ",3
42,"$ 550.000,00 ",885000,zona 2,"$ 70.800,00 ",1
42,"$ 1.700.000,00 ",935000,zona 3,$ -   ,0
41,"$ 600.000,00 ",985000,zona 4,"$ 78.800,00 ",1
30,"$ 1.150.000,00 ",305000,zona 5,"$ 24.400,00 ",2
25,"$ 50.000,00 ",335000,zona 2,"$ 26.800,00 ",3
24,"$ 1.200.000,00 ",365000,zona 3,"$ 29.200,00 ",4
23,"$ 100.000,00 ",395000,zona 2,"$ 31.600,00 ",8
26,"$ 1.250.000,00 ",425000,zona 4,"$ 34.000,00 ",15
24,"$ 150.000,00 ",455000,zona 1,$ -   ,0
29,"$ 1.300.000,00 ",485000,zona 1,"$ 38.800,00 ",5
43,"$ 200.000,00 ",515000,zona 2,"$ 41.200,00 ",8
48,"$ 1.350.000,00 ",545000,zona 3,"$ 43.600,00 ",9
60,"$ 250.000,00 ",575000,zona 4,"$ 46.000,00 ",10
50,"$ 1.400.000,00 ",335000,zona 5,"$ 26.800,00 ",8
51,"$ 300.000,00 ",385000,zona 2,"$ 30.800,00 ",7
52,"$ 1.450.000,00 ",435000,zona 3,"$ 34.800,00 ",6
49,"$ 350.000,00 ",485000,zona 2,"$ 38.800,00 ",5
48,"$ 1.500.000,00 ",535000,zona 4,$ -   ,0
47,"$ 400.000,00 ",585000,zona 1,"$ 46.800,00 ",7
46,"$ 1.550.000,00 ",635000,zona 1,"$ 50.800,00 ",9
45,"$ 450.000,00 ",685000,zona 2,"$ 54.800,00 ",2
44,"$ 1.600.000,00 ",735000,zona 3,"$ 58.800,00 ",3
43,"$ 500.000,00 ",785000,zona 4,"$ 62.800,00 ",1
42,"$ 1.650.000,00 ",835000,zona 5,$ -   ,0
28,"$ 550.000,00 ",885000,zona 2,"$ 70.800,00 ",1
30,"$ 1.700.000,00 ",935000,zona 3,"$ 74.800,00 ",2
31,"$ 600.000,00 ",985000,zona 2,"$ 78.800,00 ",3
32,"$ 1.250.000,00 ",250000,zona 4,"$ 20.000,00 ",4
